"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 27 13:06:45 GMT 2023","Fri Jan 27 13:07:29 GMT 2023","44197","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestAsisaVidaValidation","Creation of the insurance record with provider 'Axa Vida Protec' and validation it in Salesforce",""
"passed","Fri Jan 27 13:11:04 GMT 2023","Fri Jan 27 13:11:43 GMT 2023","38995","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestZurichVidaValidation","Creation of the insurance record with provider 'FIATC Vida' and validation it in Salesforce",""
"passed","Fri Jan 27 13:07:29 GMT 2023","Fri Jan 27 13:08:16 GMT 2023","46496","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestAxaVidaProtecValidation","Creation of the insurance record with provider AsisaVida and validation it in Salesforce",""
"passed","Fri Jan 27 13:09:44 GMT 2023","Fri Jan 27 13:10:22 GMT 2023","38615","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestPrevisVidaValidation","Creation of the insurance record with provider 'Zurich Vida' and validation it in Salesforce",""
"passed","Fri Jan 27 13:12:15 GMT 2023","Fri Jan 27 13:12:35 GMT 2023","20185","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeSecondPage","Click Call Me on the 2nd step of web funnel form (product is not selected)",""
"passed","Fri Jan 27 13:05:32 GMT 2023","Fri Jan 27 13:05:57 GMT 2023","25369","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTest","Creation of the insurance record",""
"failed","Fri Jan 27 13:07:24 GMT 2023","Fri Jan 27 13:08:18 GMT 2023","54431","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMe4PageNotProduct","Click Call Me on the 4th step of the web funnel (where a result list is present), when product is not selected",""
"passed","Fri Jan 27 13:09:04 GMT 2023","Fri Jan 27 13:09:45 GMT 2023","41049","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeComparisonPage","Click Call Me on comparison detail page",""
"passed","Fri Jan 27 13:11:18 GMT 2023","Fri Jan 27 13:11:41 GMT 2023","23121","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeFirstPage","Click Call Me on the 1st step of the web funnel form (product is not selected)",""
"passed","Fri Jan 27 13:05:58 GMT 2023","Fri Jan 27 13:06:44 GMT 2023","46699","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestAllianzVidaRiesgoValidation","Creation of the insurance record with provider 'Previs Vida' and validation it in Salesforce",""
"passed","Fri Jan 27 13:09:00 GMT 2023","Fri Jan 27 13:09:43 GMT 2023","43399","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestFIATCVidaValidation","Creation of the insurance record with provider 'Credit Andorra Life' and validation it in Salesforce",""
"passed","Fri Jan 27 13:12:36 GMT 2023","Fri Jan 27 13:12:56 GMT 2023","20187","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeThirdPage","Click Call Me on the 3d step of web funnel form (product is not selected)",""
"passed","Fri Jan 27 13:08:16 GMT 2023","Fri Jan 27 13:08:59 GMT 2023","42735","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestCreditAndorraLifeVidaValidation","Creation of the insurance record with provider 'Santalucía Vida' and validation it in Salesforce",""
"passed","Fri Jan 27 13:08:19 GMT 2023","Fri Jan 27 13:09:03 GMT 2023","44467","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMe4PageProduct","Click Call Me on the 4th step of the web funnel (where a result list is present), when product is selected",""
"passed","Fri Jan 27 13:11:43 GMT 2023","Fri Jan 27 13:12:05 GMT 2023","21736","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoWeCallYouFreeTest","Creation of the insurance record",""
"passed","Fri Jan 27 13:09:45 GMT 2023","Fri Jan 27 13:10:26 GMT 2023","40623","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeDetailPage","Click Call Me on product detail page",""
"passed","Fri Jan 27 13:10:23 GMT 2023","Fri Jan 27 13:11:03 GMT 2023","40556","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestSantalucíaVidaValidation","Creation of the insurance record with provider 'Allianz Vida Riesgo' and validation it in Salesforce",""
